,Date,TD1,TD1New
418,2017-08-20,,191.42857142857142
419,2017-08-21,191.0,191.0
420,2017-08-22,,190.42857142857142
421,2017-08-23,,189.85714285714286
422,2017-08-24,,189.28571428571428
423,2017-08-25,,188.71428571428572
424,2017-08-26,,188.14285714285714
425,2017-08-27,,187.57142857142858
426,2017-08-28,187.0,187.0
427,2017-08-29,,186.42857142857142
428,2017-08-30,,185.85714285714286
429,2017-08-31,,185.28571428571428
430,2017-09-01,,184.71428571428572
431,2017-09-02,,184.14285714285714
432,2017-09-03,,183.57142857142858
433,2017-09-04,183.0,183.0
434,2017-09-05,,183.71428571428572
435,2017-09-06,,184.42857142857142
436,2017-09-07,,185.14285714285714
437,2017-09-08,,185.85714285714286
438,2017-09-09,,186.57142857142858
439,2017-09-10,,187.28571428571428
440,2017-09-11,188.0,188.0
441,2017-09-12,,187.71428571428572
442,2017-09-13,,187.42857142857142
443,2017-09-14,,187.14285714285714
444,2017-09-15,,186.85714285714286
445,2017-09-16,,186.57142857142858
446,2017-09-17,,186.28571428571428
447,2017-09-18,186.0,186.0
448,2017-09-19,,186.57142857142858
449,2017-09-20,,187.14285714285714
450,2017-09-21,,187.71428571428572
451,2017-09-22,,188.28571428571428
452,2017-09-23,,188.85714285714286
453,2017-09-24,,189.42857142857142
454,2017-09-25,190.0,190.0
455,2017-09-26,,190.42857142857142
456,2017-09-27,,190.85714285714286
457,2017-09-28,,191.28571428571428
458,2017-09-29,,191.71428571428572
459,2017-09-30,,192.14285714285714
460,2017-10-01,,192.57142857142858
461,2017-10-02,193.0,193.0
462,2017-10-03,,191.42857142857142
463,2017-10-04,,189.85714285714286
464,2017-10-05,,188.28571428571428
465,2017-10-06,,186.71428571428572
466,2017-10-07,,185.14285714285714
467,2017-10-08,,183.57142857142858
468,2017-10-09,182.0,182.0
469,2017-10-10,196.0,196.0
470,2017-10-11,,194.69230769230768
471,2017-10-12,,193.3846153846154
472,2017-10-13,,192.07692307692307
473,2017-10-14,,190.76923076923077
474,2017-10-15,,189.46153846153845
475,2017-10-16,,188.15384615384616
476,2017-10-17,,186.84615384615384
477,2017-10-18,,185.53846153846155
478,2017-10-19,,184.23076923076923
479,2017-10-20,,182.92307692307693
480,2017-10-21,,181.6153846153846
481,2017-10-22,,180.30769230769232
482,2017-10-23,179.0,179.0
483,2017-10-24,,179.14285714285714
484,2017-10-25,,179.28571428571428
485,2017-10-26,,179.42857142857142
486,2017-10-27,,179.57142857142858
487,2017-10-28,,179.71428571428572
488,2017-10-29,,179.85714285714286
489,2017-10-30,180.0,180.0
490,2017-10-31,,179.7
491,2017-11-01,,179.4
492,2017-11-02,,179.1
493,2017-11-03,,178.8
494,2017-11-04,,178.5
495,2017-11-05,,178.2
496,2017-11-06,,177.9
497,2017-11-07,,177.6
498,2017-11-08,,177.3
499,2017-11-09,177.0,177.0
500,2017-11-10,,176.71428571428572
501,2017-11-11,,176.42857142857142
502,2017-11-12,,176.14285714285714
503,2017-11-13,,175.85714285714286
504,2017-11-14,,175.57142857142858
505,2017-11-15,,175.28571428571428
506,2017-11-16,175.0,175.0
507,2017-11-17,,176.14285714285714
508,2017-11-18,,177.28571428571428
509,2017-11-19,,178.42857142857142
510,2017-11-20,,179.57142857142858
511,2017-11-21,,180.71428571428572
512,2017-11-22,,181.85714285714286
513,2017-11-23,183.0,183.0
514,2017-11-24,,182.0909090909091
515,2017-11-25,,181.1818181818182
516,2017-11-26,,180.27272727272728
517,2017-11-27,,179.36363636363637
518,2017-11-28,,178.45454545454547
519,2017-11-29,,177.54545454545453
520,2017-11-30,,176.63636363636363
521,2017-12-01,,175.72727272727272
522,2017-12-02,,174.8181818181818
523,2017-12-03,,173.9090909090909
524,2017-12-04,173.0,173.0
525,2017-12-05,,173.3
526,2017-12-06,,173.6
527,2017-12-07,,173.9
528,2017-12-08,,174.2
529,2017-12-09,,174.5
530,2017-12-10,,174.8
531,2017-12-11,,175.1
532,2017-12-12,,175.4
533,2017-12-13,,175.7
534,2017-12-14,176.0,176.0
535,2017-12-15,,177.0
536,2017-12-16,,178.0
537,2017-12-17,,179.0
538,2017-12-18,,180.0
539,2017-12-19,,181.0
540,2017-12-20,,182.0
541,2017-12-21,183.0,183.0
542,2017-12-22,,182.42857142857142
543,2017-12-23,,181.85714285714286
544,2017-12-24,,181.28571428571428
545,2017-12-25,,180.71428571428572
546,2017-12-26,,180.14285714285714
547,2017-12-27,,179.57142857142858
548,2017-12-28,,179.0
549,2017-12-29,,178.42857142857142
550,2017-12-30,,177.85714285714286
551,2017-12-31,,177.28571428571428
552,2018-01-01,,176.71428571428572
553,2018-01-02,,176.14285714285714
554,2018-01-03,,175.57142857142858
555,2018-01-04,175.0,175.0
556,2018-01-05,,175.14285714285714
557,2018-01-06,,175.28571428571428
558,2018-01-07,,175.42857142857142
559,2018-01-08,,175.57142857142858
560,2018-01-09,,175.71428571428572
561,2018-01-10,,175.85714285714286
562,2018-01-11,176.0,176.0
563,2018-01-12,,174.71428571428572
564,2018-01-13,,173.42857142857142
565,2018-01-14,,172.14285714285714
566,2018-01-15,,170.85714285714286
567,2018-01-16,,169.57142857142858
568,2018-01-17,,168.28571428571428
569,2018-01-18,167.0,167.0
570,2018-01-19,,166.57142857142858
571,2018-01-20,,166.14285714285714
572,2018-01-21,,165.71428571428572
573,2018-01-22,,165.28571428571428
574,2018-01-23,,164.85714285714286
575,2018-01-24,,164.42857142857142
576,2018-01-25,164.0,164.0
577,2018-01-26,,164.63636363636363
578,2018-01-27,,165.27272727272728
579,2018-01-28,,165.9090909090909
580,2018-01-29,,166.54545454545453
581,2018-01-30,,167.1818181818182
582,2018-01-31,,167.8181818181818
583,2018-02-01,,168.45454545454547
584,2018-02-02,,169.0909090909091
585,2018-02-03,,169.72727272727272
586,2018-02-04,,170.36363636363637
587,2018-02-05,171.0,171.0
588,2018-02-06,,170.28571428571428
589,2018-02-07,,169.57142857142858
590,2018-02-08,,168.85714285714286
591,2018-02-09,,168.14285714285714
592,2018-02-10,,167.42857142857142
593,2018-02-11,,166.71428571428572
594,2018-02-12,166.0,166.0
595,2018-02-13,,157.71428571428572
596,2018-02-14,,149.42857142857142
597,2018-02-15,,141.14285714285714
598,2018-02-16,,132.85714285714286
599,2018-02-17,,124.57142857142857
600,2018-02-18,,116.28571428571428
601,2018-02-19,108.0,108.0
602,2018-02-20,,117.0
603,2018-02-21,,126.0
604,2018-02-22,,135.0
605,2018-02-23,,144.0
606,2018-02-24,,153.0
607,2018-02-25,,162.0
608,2018-02-26,171.0,171.0
609,2018-02-27,,171.57142857142858
610,2018-02-28,,172.14285714285714
611,2018-03-01,,172.71428571428572
612,2018-03-02,,173.28571428571428
613,2018-03-03,,173.85714285714286
614,2018-03-04,,174.42857142857142
615,2018-03-05,175.0,175.0
616,2018-03-06,,175.85714285714286
617,2018-03-07,,176.71428571428572
618,2018-03-08,,177.57142857142858
619,2018-03-09,,178.42857142857142
620,2018-03-10,,179.28571428571428
621,2018-03-11,,180.14285714285714
622,2018-03-12,181.0,181.0
623,2018-03-13,,180.71428571428572
624,2018-03-14,,180.42857142857142
625,2018-03-15,,180.14285714285714
626,2018-03-16,,179.85714285714286
627,2018-03-17,,179.57142857142858
628,2018-03-18,,179.28571428571428
629,2018-03-19,179.0,179.0
630,2018-03-20,,178.85714285714286
631,2018-03-21,,178.71428571428572
632,2018-03-22,,178.57142857142858
633,2018-03-23,,178.42857142857142
634,2018-03-24,,178.28571428571428
635,2018-03-25,,178.14285714285714
636,2018-03-26,178.0,178.0
637,2018-03-27,,178.9
638,2018-03-28,,179.8
639,2018-03-29,,180.7
640,2018-03-30,,181.6
641,2018-03-31,,182.5
642,2018-04-01,,183.4
643,2018-04-02,,184.3
644,2018-04-03,,185.2
645,2018-04-04,,186.1
646,2018-04-05,187.0,187.0
647,2018-04-06,,187.28571428571428
648,2018-04-07,,187.57142857142858
649,2018-04-08,,187.85714285714286
650,2018-04-09,,188.14285714285714
651,2018-04-10,,188.42857142857142
652,2018-04-11,,188.71428571428572
653,2018-04-12,189.0,189.0
654,2018-04-13,,188.96938775510205
655,2018-04-14,,188.9387755102041
656,2018-04-15,,188.90816326530611
657,2018-04-16,,188.87755102040816
658,2018-04-17,,188.8469387755102
659,2018-04-18,,188.81632653061226
660,2018-04-19,,188.78571428571428
661,2018-04-20,,188.75510204081633
662,2018-04-21,,188.72448979591837
663,2018-04-22,,188.69387755102042
